bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,8h 35m,06:30,11 Seats,4.6,₹329
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater/Sleeper (2+1),22:45,7h 50m,06:35,20 Seats,4.6,₹379
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),19:50,5h 45m,01:35,29 Seats,4.5,₹269
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:15,7h 15m,04:30,15 Seats,4.3,₹249
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:35,7h 30m,06:05,17 Seats,4.4,₹299
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:15,7h 15m,04:30,15 Seats,4.3,₹249
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,7h 45m,05:30,11 Seats,4.5,₹314
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,7h 25m,06:35,26 Seats,4.4,₹301
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,A/C Seater / Sleeper (2+1),22:05,7h 50m,05:55,16 Seats,4.4,₹297
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:00,7h 30m,05:30,20 Seats,4.6,₹317
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,7h 55m,06:20,7 Seats,4.5,₹319
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,7h 45m,05:30,11 Seats,4.5,₹314
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),19:35,4h 50m,00:25,5 Seats,4.4,₹299
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,7h 25m,06:35,26 Seats,4.4,₹301
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,A/C Seater / Sleeper (2+1),22:05,7h 50m,05:55,16 Seats,4.4,₹297
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:00,7h 30m,05:30,20 Seats,4.6,₹317
