,bus_route_name,bus_route_link
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
2,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
3,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
5,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
6,Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
7,Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
8,Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
9,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
10,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
11,Bangalore to Madanapalli,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
12,Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
13,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
14,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
15,Bangalore to Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri
16,Madanapalli to Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
17,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool
18,Kadiri to Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore
19,Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam
20,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
21,Bangalore to Madanapalli,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
22,Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
23,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
24,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
25,Bangalore to Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri
26,Madanapalli to Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
27,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool
28,Kadiri to Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore
29,Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam
