,bus_route_name,bus_route_link
0,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
1,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
2,Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
3,North Lakhimpur to Sibsagar (Assam),https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar
4,Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri
5,Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati
6,Sibsagar (Assam) to North Lakhimpur,https://www.redbus.in/bus-tickets/sibsagar-to-north-lakhimpur
7,Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur
8,North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat
9,Jorhat to Dhemaji,https://www.redbus.in/bus-tickets/jorhat-to-dhemaji
10,Guwahati to Bilasipara,https://www.redbus.in/bus-tickets/guwahati-to-bilasipara
11,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
12,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
13,Dhemaji to Jorhat,https://www.redbus.in/bus-tickets/dhemaji-to-jorhat
14,Guwahati to Bilasipara,https://www.redbus.in/bus-tickets/guwahati-to-bilasipara
15,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
16,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
17,Dhemaji to Jorhat,https://www.redbus.in/bus-tickets/dhemaji-to-jorhat
