bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,7h 10m,05:30,11 Seats,3.3,₹351
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram Bus,A/C Seater (2+2),18:10,4h 20m,22:30,21 Seats,1.7,₹400
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:00,6h,02:00,34 Seats,2.2,₹500
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,5h 20m,04:00,8 Seats,2.2,₹450
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 182419,NON A/C Seater Push Back (2+2),21:20,4h 10m,01:30,23 Seats,3.5,₹230
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,5h 10m,03:30,13 Seats,2.8,₹315
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:00,3h 30m,23:30,38 Seats,1.5,₹500
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,6h,04:00,53 Seats,1.6,₹540
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,4h 40m,03:00,34 Seats,2.5,₹405
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,5h 30m,02:00,22 Seats,3.4,₹285
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:20,8h 35m,05:55,73 Seats,1.7,₹351
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Om Sai Ram Bus,A/C Seater (2+2),21:30,3h 40m,01:10,21 Seats,1.7,₹400
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:50,8h 40m,06:30,73 Seats,2.3,₹351
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,7h,05:00,40 Seats,1.5,₹500
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,9h 10m,07:30,73 Seats,1.9,₹351
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Om Sai Ram Bus,A/C Seater (2+2),22:25,4h 35m,03:00,21 Seats,1.7,₹400
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:00,10h,06:00,38 Seats,2.1,₹500
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,8h 20m,07:00,8 Seats,1.9,₹450
