,bus_route_name,bus_route_link
0,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
1,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
2,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
3,Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
4,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
5,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
6,Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
7,Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
8,Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
9,Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
10,Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
11,Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
12,Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
13,Patna (Bihar) to Madhubani (Bihar),https://www.redbus.in/bus-tickets/patna-to-madhubani
14,Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
15,Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
16,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
17,Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
18,Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
19,Patna (Bihar) to Jaynagar (Bihar),https://www.redbus.in/bus-tickets/patna-to-jaynagar
20,Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
21,Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
22,Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
23,Patna (Bihar) to Madhubani (Bihar),https://www.redbus.in/bus-tickets/patna-to-madhubani
24,Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
25,Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
26,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
27,Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
28,Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
29,Patna (Bihar) to Jaynagar (Bihar),https://www.redbus.in/bus-tickets/patna-to-jaynagar
