bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00,4h,22:00,37 Seats,3.3,₹335
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15,5h 42m,23:57,13 Seats,3.0,₹392
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1209,Ordinary 3+2 Non AC Seater,20:50,5h 25m,02:15,37 Seats,3.8,₹357
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1227,Ordinary 3+2 Non AC Seater,21:40,5h 20m,03:00,37 Seats,3.8,₹392
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,New Himalaya Travels,Volvo A/C Semi Sleeper (2+2),20:45,4h 35m,01:20,18 Seats,4.4,₹669
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Rudra travels,Volvo A/C Semi Sleeper (2+2),21:45,3h 45m,01:30,20 Seats,4.3,₹699
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:05,3h 25m,01:30,12 Seats,4.1,₹720
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),22:05,4h 35m,02:40,11 Seats,5.0,₹670
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HIMALAYAN HOLIDAYS,Scania A/C Semi Sleeper (2+2),22:15,3h 45m,02:00,19 Seats,3.8,₹629
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:25,3h 20m,01:45,6 Seats,4.7,₹675
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Rudra travels,Volvo A/C Semi Sleeper (2+2),22:55,3h 45m,02:40,15 Seats,4.3,₹672
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,3h 45m,01:30,13 Seats,2.9,₹717
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:10,3h 40m,23:50,37 Seats,4.3,"₹4,000"
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),20:15,4h 20m,00:35,4 Seats,3.6,"₹1,279"
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,4h 10m,00:30,4 Seats,4.9,₹999
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:50,4h 10m,02:00,6 Seats,4.3,₹899
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),22:00,4h 20m,02:20,8 Seats,4.7,₹899
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:05,3h 50m,01:55,4 Seats,4.9,₹872
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Himachal Pradesh Tourism Development Corporation (HPTDC) - 167896,AC Seater (2+2),21:00,9h,06:00,37 Seats,3.3,"₹1,000"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,9h,08:00,16 Seats,4.7,₹450
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,zingbus plus,Bharat Benz A/C Semi Sleeper (2+2),23:30,9h 45m,09:15,12 Seats,4.7,₹573
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays Pvt Ltd,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:00,9h 10m,08:10,13 Seats,4.4,₹500
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,Bharat Benz A/C Semi Sleeper (2+2),23:15,9h 10m,08:25,23 Seats,4.6,₹373
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,zingbus plus,Bharat Benz A/C Semi Sleeper (2+2),22:55,9h 35m,08:30,25 Seats,4.3,₹419
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Vishal tour and travels,Bharat Benz A/C Semi Sleeper (2+2),21:20,8h,05:20,18 Seats,4.3,₹481
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,A/C Semi Sleeper (2+2),22:30,9h 20m,07:50,20 Seats,4.4,₹449
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,7h 30m,06:00,30 Seats,3.8,₹360
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),22:30,8h 50m,07:20,31 Seats,4.3,₹700
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,zingbus plus,Bharat Benz A/C Semi Sleeper (2+2),22:55,9h 35m,08:30,25 Seats,4.3,₹419
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Vishal tour and travels,Bharat Benz A/C Semi Sleeper (2+2),21:20,8h,05:20,18 Seats,4.3,₹481
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),22:50,8h 30m,07:20,25 Seats,4.3,₹600
