bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:20,4h 30m,23:50,37 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:20,4h 30m,23:50,37 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:20,4h 30m,23:50,37 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:25,4h 11m,23:36,25 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:25,4h 11m,23:36,25 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:25,4h 11m,23:36,25 Seats,3.2,₹330
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,4h 20m,23:50,26 Seats,5.0,₹663
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,4h 20m,23:50,26 Seats,5.0,₹663
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,4h 20m,23:50,26 Seats,5.0,₹663
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chandra Raj Travels,NON A/C Sleeper (2+1),19:30,4h,23:30,30 Seats,3.3,₹500
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chandra Raj Travels,NON A/C Sleeper (2+1),19:30,4h,23:30,30 Seats,3.3,₹500
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chandra Raj Travels,NON A/C Sleeper (2+1),19:30,4h,23:30,30 Seats,3.3,₹500
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,A/C Sleeper (2+1),20:00,4h 30m,00:30,34 Seats,3.2,₹580
