bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),18:00,16h 30m,10:30,4 Seats,4.5,"₹2,437"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),17:00,15h 35m,08:35,2 Seats,4.2,"₹2,281"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Dolphin travel house,A/C Sleeper (2+1),21:30,16h,13:30,6 Seats,4.2,"₹1,800"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,A/C Sleeper (2+1),16:30,15h 20m,07:50,3 Seats,4.1,"₹1,377"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),16:40,16h 20m,09:00,8 Seats,4.0,"₹2,000"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),18:45,15h 35m,10:20,4 Seats,3.9,"₹2,140"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:15,14h 45m,11:00,3 Seats,4.0,"₹2,488"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Naik Tours And Travels,VE A/C Sleeper (2+1),18:00,14h,08:00,4 Seats,3.8,"₹2,100"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),17:45,15h 35m,09:20,5 Seats,3.7,"₹1,820"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Global Travel Agency (GTA),A/C Sleeper (2+1),17:50,17h 25m,11:15,4 Seats,3.7,"₹1,799"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Sai Pooja Travels (Mumbai),A/C Sleeper (2+1),20:00,14h,10:00,1 Seats,3.7,"₹2,128"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,VE A/C Sleeper (2+1),19:30,14h 45m,10:15,1 Seats,4.0,"₹3,169"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Konkan Travels National,A/C Sleeper (2+1),18:00,16h,10:00,2 Seats,3.8,"₹1,899"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Dolphin travel house,Bharat Benz A/C Sleeper (2+1),20:18,15h 12m,11:30,1 Seats,3.9,"₹2,275"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Shubham Vailankanni Travels,VE A/C Sleeper (2+1),21:00,15h 35m,12:35,8 Seats,3.3,"₹2,000"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mascot Travels(M.Dev),A/C Sleeper (2+1),19:00,17h,12:00,2 Seats,3.1,"₹1,900"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Konkan Travels National,NON A/C Sleeper (2+1),18:40,14h 50m,09:30,10 Seats,4.2,"₹1,479"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,NAIK TRAVELS (HIMANI),A/C Sleeper (2+1),19:00,14h,09:00,5 Seats,3.4,"₹1,900"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Abhishek Vishal Travels,A/C Sleeper (2+1),16:10,17h 45m,09:55,4 Seats,3.2,"₹1,700"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Shubham Vailankanni Travels,VE A/C Sleeper (2+1),20:15,15h 15m,11:30,2 Seats,3.9,"₹2,200"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Konkan Travels Mujawar,NON A/C Sleeper (2+1),18:50,16h 55m,11:45,19 Seats,3.2,"₹1,479"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Dolphin Travel House (40),Bharat Benz A/C Sleeper (2+1),20:00,17h 15m,13:15,15 Seats,2.9,"₹1,700"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Abhishek Vishal Travels,A/C Sleeper (2+1),19:00,16h 15m,11:15,22 Seats,2.9,"₹1,900"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mascot Travels(M.Dev),A/C Sleeper (2+1),17:30,17h,10:30,1 Seats,2.6,"₹2,200"
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,VRL Travels,A/C Sleeper (2+1),19:00,14h 30m,09:30,1 Seats,3.0,"₹2,000"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,2 Seats,4.7,"₹2,469"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),23:30,9h 15m,08:45,3 Seats,4.6,"₹2,043"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),21:50,11h 30m,09:20,3 Seats,4.5,"₹2,120"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),23:00,11h 45m,10:45,3 Seats,4.3,"₹2,430"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),22:05,10h 40m,08:45,1 Seats,4.6,"₹2,473"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,FlixBus,A/C Sleeper (2+1),20:45,12h,08:45,1 Seats,4.4,"₹2,948"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Ashray Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),22:30,11h 30m,10:00,6 Seats,4.1,"₹2,069"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),23:55,10h 35m,10:30,4 Seats,4.4,"₹2,642"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),21:00,12h,09:00,1 Seats,4.3,"₹2,230"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:00,11h,09:00,10 Seats,3.8,"₹2,170"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,FlixBus,A/C Sleeper (2+1),20:45,12h,08:45,1 Seats,4.4,"₹2,948"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Atmaram Divine,NON A/C Sleeper (2+1),19:45,11h 30m,07:15,1 Seats,4.2,"₹2,190"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:25,10h 5m,07:30,5 Seats,4.1,"₹2,090"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,11h,09:30,6 Seats,4.2,"₹1,820"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Ashray Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),22:30,11h 30m,10:00,6 Seats,4.1,"₹2,069"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),22:30,12h 5m,10:35,3 Seats,4.1,"₹2,000"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),21:55,10h 40m,08:35,2 Seats,4.2,"₹2,281"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels Club,Non A/C Seater / Sleeper (2+1),21:15,12h 25m,09:40,3 Seats,4.0,"₹1,350"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,A/C Sleeper (2+1),22:30,10h 30m,09:00,14 Seats,4.1,"₹1,822"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,1 Seats,4.1,"₹1,805"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,10h 55m,07:55,6 Seats,3.9,"₹1,409"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,VE A/C Sleeper (2+1),21:30,11h,08:30,7 Seats,3.9,"₹2,668"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,A/C Sleeper (2+1),21:10,10h 40m,07:50,3 Seats,4.0,"₹1,377"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:30,10h 45m,07:15,4 Seats,3.8,"₹2,050"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:30,10h 50m,06:20,2 Seats,3.8,"₹2,019"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:15,11h,07:15,1 Seats,3.7,"₹1,800"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:05,9h 55m,09:00,9 Seats,3.6,"₹2,000"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),22:45,11h 15m,10:00,4 Seats,3.6,"₹2,050"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,11h 45m,10:00,9 Seats,3.8,"₹2,120"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Asta,A/C Sleeper (2+1),22:00,10h 30m,08:30,3 Seats,3.5,"₹1,999"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,VE A/C Sleeper (2+1),23:00,10h 35m,09:35,13 Seats,4.7,"₹2,082"
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),22:40,10h 40m,09:20,5 Seats,3.4,"₹1,820"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,zingbus plus,Bharat Benz A/C Sleeper (2+1),18:50,10h 10m,05:00,5 Seats,4.7,"₹1,139"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,9h 30m,08:00,4 Seats,4.4,"₹1,110"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),22:00,9h 30m,07:30,11 Seats,4.3,"₹1,300"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:00,9h 30m,07:30,18 Seats,4.1,"₹1,145"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:15,11h 15m,06:30,3 Seats,4.3,₹629
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,10h,07:00,9 Seats,3.7,"₹1,170"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,FlixBus,A/C Sleeper (2+1),20:30,11h,07:30,8 Seats,4.2,₹723
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,zingbus plus,Bharat Benz A/C Sleeper (2+1),20:20,10h 5m,06:25,6 Seats,4.4,₹895
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),19:30,11h 50m,07:20,7 Seats,4.2,"₹1,200"
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,10h,07:00,9 Seats,3.7,"₹1,170"
