,bus_route_name,bus_route_link
0,Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
1,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
2,Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
3,Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
4,Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
5,Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
6,Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
7,Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi
8,Hyderabad to Goa,https://www.redbus.in/bus-tickets/hyderabad-to-goa
9,Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
10,Goa to Hyderabad,https://www.redbus.in/bus-tickets/goa-to-hyderabad
11,Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
12,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
13,Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
14,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
15,Hyderabad to Belagavi,https://www.redbus.in/bus-tickets/hyderabad-to-belagavi
16,Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
17,Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
18,Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
19,Goa to Hyderabad,https://www.redbus.in/bus-tickets/goa-to-hyderabad
20,Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
21,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
22,Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
23,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
24,Hyderabad to Belagavi,https://www.redbus.in/bus-tickets/hyderabad-to-belagavi
25,Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
26,Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
27,Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
