bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Parasuram Travels,Leyland A/C Seater Executive (2+2),14:35,5h 10m,19:45,14 Seats,5.0,₹499
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Parasuram Travels,Leyland A/C Seater Executive (2+2),14:35,5h 10m,19:45,14 Seats,5.0,₹499
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Parasuram Travels,Leyland A/C Seater Executive (2+2),14:35,5h 10m,19:45,14 Seats,5.0,₹499
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Abram Connect,Tata A/C Seater (2+2),18:00,5h,23:00,31 Seats,4.0,₹449
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Abram Connect,Tata A/C Seater (2+2),18:00,5h,23:00,31 Seats,4.0,₹449
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Abram Connect,Tata A/C Seater (2+2),18:00,5h,23:00,31 Seats,4.0,₹449
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,A/C Seater / Sleeper (2+1),20:05,3h 54m,23:59,31 Seats,3.4,₹700
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,A/C Seater / Sleeper (2+1),20:05,3h 54m,23:59,31 Seats,3.4,₹700
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,A/C Seater / Sleeper (2+1),20:05,3h 54m,23:59,31 Seats,3.4,₹700
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,4h 30m,01:30,26 Seats,4.1,₹450
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,4h 30m,01:30,26 Seats,4.1,₹450
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,4h 30m,01:30,26 Seats,4.1,₹450
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Sleeper (2+1),21:25,3h 45m,01:10,17 Seats,3.4,₹899
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Sleeper (2+1),21:25,3h 45m,01:10,17 Seats,3.4,₹899
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Sleeper (2+1),21:25,3h 45m,01:10,17 Seats,3.4,₹899
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,4h 30m,02:40,23 Seats,3.1,₹900
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,4h 30m,02:40,23 Seats,3.1,₹900
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,4h 30m,02:40,23 Seats,3.1,₹900
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,4h,02:30,24 Seats,4.1,₹700
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,4h,02:30,24 Seats,4.1,₹700
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,4h,02:30,24 Seats,4.1,₹700
