,bus_route_name,bus_route_link
0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
1,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
2,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
3,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
4,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
5,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
6,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
7,Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
8,Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
9,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
10,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
11,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
12,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
13,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
14,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
15,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
16,Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
17,Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
18,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
19,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
20,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
21,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
22,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
23,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
24,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
25,Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
26,Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
