,bus_route_name,bus_route_link
0,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
1,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
2,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
3,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
4,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
5,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
6,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
7,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
8,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
9,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
10,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
11,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
12,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
13,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
14,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
15,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
16,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
17,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
18,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
19,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
20,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
21,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
22,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
23,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
