bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:05,8h 30m,06:35,20 Seats,4.6,₹349
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater/Sleeper (2+1),23:55,6h 40m,06:35,27 Seats,4.6,₹449
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),14:10,5h 55m,20:05,14 Seats,4.5,₹269
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,6h 40m,04:30,25 Seats,3.6,₹333
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),17:35,8h,01:35,36 Seats,4.5,₹269
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),16:35,8h,00:35,25 Seats,4.4,₹269
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:55,7h 35m,05:30,20 Seats,4.5,₹326
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:25,7h 5m,05:30,31 Seats,4.6,₹375
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,A/C Seater / Sleeper (2+1),23:10,6h 45m,05:55,26 Seats,4.4,₹344
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,A/C Sleeper (2+1),17:40,7h 15m,00:55,10 Seats,4.9,₹850
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:35,6h 50m,05:25,31 Seats,4.5,₹499
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,7h 20m,06:05,27 Seats,4.4,₹319
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),16:35,8h,00:35,25 Seats,4.4,₹269
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:55,7h 35m,05:30,20 Seats,4.5,₹326
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,6h 40m,06:10,21 Seats,4.5,₹349
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Gupta Travels,VE A/C Sleeper (2+1),18:00,5h 10m,23:10,25 Seats,3.9,₹700
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),18:30,8h,02:30,25 Seats,3.8,₹440
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Sri Krishna Travels,A/C Sleeper (2+1),19:00,4h 30m,23:30,17 Seats,3.5,₹749
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,4h,23:30,22 Seats,3.5,₹600
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Morning Star Travels,A/C Sleeper (2+1),19:35,4h 40m,00:15,24 Seats,3.4,₹699
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Puri Jagannadh Tours And Travels,A/C Seater / Sleeper (2+1),20:15,6h 45m,03:00,29 Seats,3.8,₹449
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),20:30,6h 30m,03:00,30 Seats,4.3,₹399
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,SBS Tours and Travels,Non A/C Seater / Sleeper (2+1),20:30,5h 54m,02:24,31 Seats,3.1,₹456
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Aryan Travels,A/C Sleeper (2+1),20:45,6h 15m,03:00,18 Seats,0.0,₹569
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Sri KVR Travels,A/C Seater / Sleeper (2+1),20:50,7h 40m,04:30,39 Seats,4.3,₹359
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,IRA TRANSPORTS,A/C Sleeper (2+1),18:00,3h 30m,21:30,28 Seats,4,₹849
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,LSR Travels,Non A/C Seater / Sleeper (2+1),23:40,6h 25m,06:05,23 Seats,3.9,₹350
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,4h 20m,04:00,21 Seats,4.3,₹440
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sree Hanuman Travels,Non A/C Seater / Sleeper (2+1),23:45,5h 55m,05:40,23 Seats,3.9,₹350
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:45,6h 25m,06:10,25 Seats,3.3,₹500
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,6h 15m,06:00,18 Seats,3.7,₹400
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Seater / Sleeper (2+1),23:45,5h 15m,05:00,15 Seats,3.8,₹449
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,5h 30m,05:25,18 Seats,3.5,₹450
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,5h 2m,05:00,20 Seats,4.6,₹750
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:59,6h 1m,06:00,22 Seats,3.5,₹680
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,4h 25m,01:45,27 Seats,3.8,₹405
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Bhumi travels,AC Seater (2+2),22:00,5h,03:00,36 Seats,3,"₹2,000"
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,DNR Express,AC Sleeper (2+1),21:30,2h 29m,23:59,26 Seats,2.1,"₹1,200"
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Shree Saipooja Travels,A/C Seater/Sleeper (2+1),22:30,4h,02:30,42 Seats,2.5,"₹2,850"
