,bus_route_name,bus_route_link
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
1,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
2,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
3,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
4,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
5,Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal
6,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
7,Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam
8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
9,Hyderabad to Jagityal,https://www.redbus.in/bus-tickets/hyderabad-to-jagityal
10,Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor
11,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
12,Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor
13,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
