bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,FlixBus,A/C Semi Sleeper (2+2),22:25,5h 50m,04:15,43 Seats,4.7,₹551
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,FlixBus,AC Seater (2+2),23:00,6h 10m,05:10,38 Seats,4.4,₹551
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,FlixBus,A/C Semi Sleeper (2+2),16:20,6h 15m,22:35,27 Seats,4.5,₹313
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,NueGo,Electric A/C Seater (2+2),23:45,5h 40m,05:25,16 Seats,4.0,₹284
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,NueGo,Electric A/C Semi Sleeper (2+2),18:30,5h 40m,00:10,16 Seats,4.0,₹331
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Sleeper (2+1),21:30,5h 40m,03:10,4 Seats,3.8,₹584
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Sleeper (2+1),20:40,6h,02:40,7 Seats,4.3,₹539
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,5h 50m,02:50,5 Seats,2.2,₹404
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,SHRI RAM TRAVELS,A/C Seater (2+2),23:54,5h 31m,05:25,37 Seats,3.6,₹359
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Sleeper (2+1),21:30,5h 40m,03:10,4 Seats,3.8,₹584
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Sleeper (2+1),20:40,6h,02:40,7 Seats,4.3,₹539
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,RS Yadav Smart Bus,VE A/C Seater / Sleeper (2+1),21:50,6h 30m,04:20,22 Seats,3.9,₹999
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,OurBus India Limited,VE A/C Sleeper (2+1),19:30,5h 40m,01:10,26 Seats,4.4,₹830
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Gola Bus Service,Bharat Benz A/C Seater /Sleeper (2+1),22:30,8h,06:30,24 Seats,4.8,₹999
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,PTC-SkyBus,Bharat Benz A/C Seater /Sleeper (2+1),23:15,8h 15m,07:30,23 Seats,4.7,₹999
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,PTC-SkyBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,8h,07:45,26 Seats,4.6,₹999
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,PTC-SkyBus,VE A/C Seater / Sleeper (2+1),23:55,8h 15m,08:10,26 Seats,4.5,₹799
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:30,8h,07:30,26 Seats,4.6,₹942
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,10h 10m,07:10,27 Seats,4.5,₹845
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,A/C Seater / Sleeper (2+1),23:30,9h 50m,09:20,21 Seats,4.4,₹886
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,International Tourist Centre,Bharat Benz A/C Sleeper (2+1),22:30,8h 30m,07:00,28 Seats,4.3,₹827
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:30,10h 5m,07:35,25 Seats,4.4,₹867
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:30,9h 35m,08:05,30 Seats,4.3,₹867
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:30,8h 30m,07:00,22 Seats,4.6,₹797
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,10h 10m,07:10,27 Seats,4.5,₹845
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Vaishali Expresso Pvt. Ltd.,A/C Seater / Sleeper (2+2),18:30,8h,02:30,26 Seats,4.3,₹999
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,zingbus plus,A/C Seater / Sleeper (2+1),23:30,9h 50m,09:20,21 Seats,4.4,₹886
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,International Tourist Centre,Bharat Benz A/C Sleeper (2+1),22:30,8h 30m,07:00,28 Seats,4.3,₹827
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0166,Ordinary Non AC Seater 2+3,14:59,3h 21m,18:20,35 Seats,3.3,₹204
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0010,Janrath AC Seater 2+2,15:00,3h,18:00,32 Seats,4.0,₹259
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - SKD0125,Ordinary Non AC Seater 2+3,15:28,5h 12m,20:40,35 Seats,3.3,₹230
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0088,Ordinary Non AC Seater 2+3,15:28,3h 20m,18:48,35 Seats,3.3,₹204
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0110,Ordinary Non AC Seater 2+3,15:29,3h 48m,19:17,35 Seats,3.3,₹204
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0102,Ordinary Non AC Seater 2+3,15:30,3h 20m,18:50,35 Seats,3.3,₹204
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - SKD0570,Ordinary Non AC Seater 2+3,15:56,4h 47m,20:43,35 Seats,3.3,₹230
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - KSB0278,Ordinary Non AC Seater 2+3,16:00,4h,20:00,52 Seats,3.3,₹230
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - KRJ0136,Ordinary Non AC Seater 2+3,16:11,2h 46m,18:57,35 Seats,3.3,₹230
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - GZD0328,Ordinary Non AC Seater 2+3,16:15,4h,20:15,35 Seats,3.3,₹230
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:10,3h 50m,01:00,11 Seats,3.6,₹699
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service Pvt. Ltd.,A/C Seater/Sleeper (2+1),21:00,5h,02:00,46 Seats,3.1,₹650
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service Pvt. Ltd.,NON AC Seater / Sleeper 2+1,21:00,4h 30m,01:30,44 Seats,3.1,₹600
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,NueGo,Electric A/C Seater (2+2),23:30,5h 15m,04:45,24 Seats,4.6,₹284
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,FlixBus,A/C Semi Sleeper (2+2),23:50,5h 15m,05:05,33 Seats,4.4,₹437
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,NueGo,Electric A/C Semi Sleeper (2+2),19:00,5h 10m,00:10,26 Seats,4.1,₹284
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,FlixBus,AC Seater (2+2),15:00,5h 30m,20:30,33 Seats,3.9,₹313
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Sleeper (2+1),23:58,5h 2m,05:00,17 Seats,4.4,₹539
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),22:50,5h 10m,04:00,36 Seats,2.6,₹299
