,bus_route_name,bus_route_link
0,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
1,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
2,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
3,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
4,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
5,Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
6,Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
7,Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
8,Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
9,Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
10,Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
11,Greater noida (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow
12,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
13,Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
14,Delhi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-kanpur
15,Lucknow to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-bareilly
16,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
17,Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
18,Delhi to Haldwani,https://www.redbus.in/bus-tickets/delhi-to-haldwani
19,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
20,Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
21,Greater noida (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow
22,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
23,Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
24,Delhi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-kanpur
25,Lucknow to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-bareilly
26,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
27,Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
28,Delhi to Haldwani,https://www.redbus.in/bus-tickets/delhi-to-haldwani
29,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
